statements,topic
"ReLU6 is a variation of the Rectified Linear Unit that caps the output at a maximum value of 6, defined mathematically as $y = \min(\max(0, x), 6)$, to prevent activations from becoming excessively large and to improve numerical stability in low-precision mobile or embedded hardware.",activation
"RReLU (Randomized Leaky ReLU) is a variation of the Leaky ReLU activation function where the slope for negative values is randomly sampled from a uniform distribution during training and fixed to its average value during testing.",activation
"The CELU (Continuously Differentiable Exponential Linear Unit) activation function is a variation of the ELU that ensures the derivative is continuous at all points, including zero, by normalizing the exponential curve with a scale parameter $\alpha$ to prevent sudden changes in the gradient.",activation
"The Sigmoid Linear Unit (SiLU), also known as the swish function, is an activation function defined as the product of the input and its sigmoid value, $f(x) = x \cdot \sigma(x)$, which provides a smooth, non-monotonic curve that helps prevent the vanishing gradient problem during deep neural network training.",activation
"The SoftShrink activation function (also known as the Soft Thresholding operator) sets input values within a specified range $[-\lambda, \lambda]$ to zero and shifts values outside that range toward zero by the value of $\lambda$.",activation
"The tanhshrink activation function is defined as the element-wise subtraction of the hyperbolic tangent from the input, calculated by the formula $f(x) = x - \tanh(x)$.",activation
"The Threshold function modifies its input based on a given threshold. If an input value x is greater than the threshold, it is passed through unchanged. Otherwise, it is replaced by a fixed value. ",activation
"The GLU (Gated Linear Unit) is a neural network activation that splits its input into two linear projections and returns their element-wise product after passing one through a sigmoid gate, i.e., GLU(x) = (xW + b) ⊗ σ(xV + c), to control information flow. ",activation
"SwiGLU is a gated linear unit variant that takes two linear projections of the input, applies the SiLU (Swish) activation to one, multiplies it elementwise with the other, then projects the result back out.",activation
"Softmin is a neural network activation function that turns a vector of scores into a probability distribution where smaller inputs get larger probabilities — it's basically softmax applied to the negated inputs: $ \text{softmin}(x_i) = \frac{e^{-x_i}}{\sum_j e^{-x_j}} $.",activation
"MSE loss is the average of the squared differences between predicted values and true values, $MSE = \frac{1}{n}\sum_{i=1}^{n}(y_i - \hat{y}_i)^2$, which penalizes larger errors much more heavily than small ones.", loss
"Cross-entropy loss is the negative log of the probability your model assigns to the true class, so it grows large when you're confident and wrong and shrinks toward zero when you're confident and right.", loss
"Mean absolute error is the loss function that averages the absolute differences between each predicted value and its corresponding true value.", loss
"The Huber loss is a robust loss that behaves like mean squared error for small residuals (|error| ≤ δ) and switches to mean absolute error for large residuals (|error| > δ), trading sensitivity to outliers for smoothness near zero.", loss
"Smooth L1 loss is 0.5x² when |x| < 1 and |x| − 0.5 otherwise, so it behaves quadratically for small errors and linearly for large ones to keep gradients stable near zero while resisting outliers.", loss
"KL divergence loss quantifies how much one probability distribution q diverges from a target distribution p by computing $D_{KL}(p\|q) = \sum_x p(x) \log\frac{p(x)}{q(x)}$, the expected extra information needed to encode samples from p when using q instead.", loss
"Cosine embedding loss trains two vectors to have cosine similarity near 1 if they're labeled as similar, and cosine similarity below a margin if they're labeled as dissimilar.", loss
"CTC loss lets a neural network learn to transcribe an unsegmented input sequence by summing the probabilities of every possible alignment, including blank symbols, that collapse down to the correct output sequence.", loss
"The Poisson negative log-likelihood loss computes $-\log P(y\mid\lambda) = \lambda - y\log\lambda + \log(y!)$, which (dropping the constant $\log(y!)$) penalizes a predicted rate $\lambda$ for making the observed count $y$ unlikely under a Poisson distribution.", loss
"Gaussian NLL loss is the negative log-probability of the true target $y$ under your model's predicted Gaussian $\mathcal{N}(\mu, \sigma^2)$, i.e. $-\log p(y) = \tfrac12\log(2\pi\sigma^2) + \tfrac{(y-\mu)^2}{2\sigma^2}$, so it penalizes both squared error scaled by the predicted variance and the log of that variance to learn accurate means with well-calibrated uncertainty.", loss
"Binary cross-entropy loss is the average of $-[y \log(p) + (1-y) \log(1-p)]$ across examples, where $y \in \{0,1\}$ is the true label and $p$ is the model's predicted probability that $y=1$, so it heavily penalizes confident but wrong predictions.", loss
"The margin ranking loss penalizes a model with $L = \max(0, m - (s_{pos} - s_{neg}))$ whenever a positive example's score $s_{pos}$ fails to exceed a negative example's score $s_{neg}$ by at least the chosen margin $m$.", loss
"The soft-margin loss function is the hinge loss (max(0, 1 − y·f(x))) summed over training points plus a regularization term, which lets an SVM tolerate some margin violations by trading a wider margin for a penalty on misclassified or near-boundary examples controlled by C.", loss
"Hinge embedding loss trains a model to minimize the distance between similar pairs toward zero, while only penalizing dissimilar pairs if their distance falls short of a set margin.", loss
"The multi-margin loss is the multi-class hinge loss that penalizes a model by summing, for every incorrect class, how much the score of the true class fails to exceed that incorrect score by at least a set margin.", loss
"The multi-label margin loss is a hinge-style loss that sums max(0, 1 - (s_pos - s_neg)) over every pair of a true label and a false label, forcing each positive class score to be at least one margin unit higher than every negative class score.", loss
"The multi-label soft-margin loss is a one-versus-all, max-entropy criterion that applies a sigmoid to each logit and averages the binary cross-entropy over all C classes, so each label is learned independently and an input can belong to multiple classes at once.", loss
"Triplet margin loss is a metric-learning objective that penalizes the model with $L = \max(0, d(a,p) - d(a,n) + m)$ whenever an anchor $a$ is not at least margin $m$ closer to a positive (same-class) example $p$ than to a negative (different-class) example $n$.", loss
"Triplet margin loss with a distance function $d$ computes $L = \max(0, d(a,p) - d(a,n) + m)$, which penalizes the model whenever the anchor $a$ is not at least margin $m$ closer to the positive $p$ than to the negative $n$.s", loss
